state_residency,is_in_state,urban_centric_locale,student_aid_index,adjusted_gross_income,first_gen,pell_eligible,hs_gpa,sat_act_percentile,institutional_tier,cost_of_attendance,miles_from_campus,fafsa_submitted_month,fafsa_month_sin,fafsa_month_cos,demonstrated_interest,merit_scholarship_amt,need_grant_amt,total_aid_package,net_price,enrolled,net_price_to_income_ratio,financial_aid_discount_rate,unmet_financial_need_gap,engagement_velocity
NC,0,City,10852.0,44738.0,0,0,2.93,30.0,Regional Comprehensive,47339.0,120.1,7,-0.5,-0.866,60.9,15068.0,7239.0,22307.0,25032.0,0,0.5595,0.4712,14180.0,0.0763
SD,0,City,81099.0,383934.0,0,0,3.13,53.0,Regional Comprehensive,43390.0,398.9,1,0.5,0.866,32.3,16668.0,0.0,16668.0,26722.0,1,0.0696,0.3841,0.0,0.0444
CA,0,Suburb,24446.0,131209.0,1,0,2.62,60.0,Regional Comprehensive,40262.0,141.6,4,0.866,-0.5,55.7,15897.0,4119.0,20016.0,20246.0,0,0.1543,0.4971,0.0,0.0647
NJ,0,City,15912.0,71031.0,1,0,2.26,16.0,R2 Doctoral,65314.0,145.8,6,0.0,-1.0,66.5,10970.0,13200.0,24170.0,41144.0,0,0.5792,0.3701,25232.0,0.0667
MI,0,Town,35104.0,168301.0,0,0,2.78,33.0,Regional Comprehensive,52698.0,22.3,3,1.0,0.0,54.4,15397.0,4057.0,19454.0,33244.0,0,0.1975,0.3692,0.0,0.0473
SC,0,Suburb,40862.0,153672.0,0,0,3.31,78.0,R2 Doctoral,62836.0,49.3,3,1.0,0.0,73.3,26028.0,4267.0,30295.0,32541.0,1,0.2118,0.4821,0.0,0.0833
PA,0,Town,3313.0,23296.0,0,1,1.94,12.0,R1 Research,77697.0,400.5,3,1.0,0.0,47.3,7140.0,39944.0,47084.0,30613.0,0,1.3141,0.606,27300.0,0.0617
IL,0,Town,14004.0,53613.0,0,0,3.84,99.0,Liberal Arts College,66103.0,15.0,2,0.866,0.5,62.8,35661.0,13855.0,49516.0,16587.0,1,0.3094,0.7491,2583.0,0.036
TX,0,Suburb,10809.0,62208.0,0,0,3.32,64.0,Community College,22203.0,519.0,3,1.0,0.0,55.9,2345.0,2144.0,4489.0,17714.0,0,0.2848,0.2022,6905.0,0.1194
WI,0,Rural,22684.0,97763.0,0,0,3.54,84.0,Community College,20447.0,214.1,9,-1.0,-0.0,50.3,4136.0,0.0,4136.0,16311.0,1,0.1668,0.2023,0.0,0.0877
MN,0,Rural,10521.0,53569.0,0,0,3.21,43.0,Regional Comprehensive,40390.0,57.8,10,-0.866,0.5,70.1,15325.0,5385.0,20710.0,19680.0,0,0.3674,0.5128,9159.0,0.0616
TX,0,Suburb,10887.0,58633.0,1,0,3.4,58.0,R1 Research,78350.0,52.9,5,0.5,-0.866,51.5,20916.0,12847.0,33763.0,44587.0,1,0.7604,0.4309,33700.0,0.0339
IL,0,City,10593.0,45154.0,1,0,3.55,73.0,Regional Comprehensive,42703.0,927.6,2,0.866,0.5,63.5,19693.0,7302.0,26995.0,15708.0,1,0.3479,0.6322,5115.0,0.0471
UT,0,Suburb,27522.0,133952.0,0,0,2.86,44.0,Community College,21072.0,557.7,3,1.0,0.0,53.1,24.0,0.0,24.0,21048.0,0,0.1571,0.0011,0.0,0.0588
CA,0,City,7482.0,22266.0,1,1,3.05,89.0,Community College,21861.0,111.8,7,-0.5,-0.866,91.0,355.0,4991.0,5346.0,16515.0,1,0.7417,0.2445,9033.0,0.1414
NY,0,Suburb,8292.0,46273.0,0,1,2.08,33.0,Community College,20300.0,145.9,3,1.0,0.0,61.0,1614.0,5053.0,6667.0,13633.0,1,0.2946,0.3284,5341.0,0.0777
NJ,0,Suburb,1303.0,16690.0,1,1,3.16,74.0,Liberal Arts College,68651.0,64.3,1,0.5,0.866,66.9,29325.0,23476.0,52801.0,15850.0,1,0.9497,0.7691,14547.0,0.2115
NY,0,Suburb,6859.0,29991.0,0,1,3.2,60.0,Regional Comprehensive,47781.0,146.0,6,0.0,-1.0,53.8,18748.0,19013.0,37761.0,10020.0,1,0.3341,0.7903,3161.0,0.0517
FL,0,Town,12010.0,79092.0,0,0,3.69,63.0,Regional Comprehensive,47527.0,62.4,1,0.5,0.866,71.0,17816.0,8846.0,26662.0,20865.0,1,0.2638,0.561,8855.0,0.08
GA,0,City,9988.0,80180.0,0,0,2.69,65.0,Regional Comprehensive,41843.0,116.7,12,-0.0,1.0,45.7,14975.0,6635.0,21610.0,20233.0,1,0.2523,0.5165,10245.0,0.0795
TX,0,Suburb,11204.0,50237.0,1,0,3.07,37.0,Regional Comprehensive,43465.0,847.8,2,0.866,0.5,57.9,13221.0,6333.0,19554.0,23911.0,0,0.476,0.4499,12707.0,0.1688
MI,0,Suburb,40344.0,141389.0,0,0,3.07,51.0,Regional Comprehensive,53572.0,114.6,1,0.5,0.866,54.8,18797.0,3096.0,21893.0,31679.0,1,0.2241,0.4087,0.0,0.0486
MO,0,Town,35319.0,166860.0,0,0,3.54,83.0,Regional Comprehensive,52453.0,42.2,5,0.5,-0.866,60.6,23966.0,3341.0,27307.0,25146.0,1,0.1507,0.5206,0.0,0.1522
VA,0,Suburb,16494.0,59884.0,1,0,3.39,99.0,Community College,17631.0,30.2,8,-0.866,-0.5,80.2,1634.0,317.0,1951.0,15680.0,1,0.2618,0.1107,0.0,0.0865
CA,0,City,13779.0,75381.0,1,0,3.14,83.0,R2 Doctoral,43870.0,144.8,7,-0.5,-0.866,55.8,14860.0,7700.0,22560.0,21310.0,0,0.2827,0.5142,7531.0,0.2391
KY,0,Suburb,15125.0,45441.0,1,0,2.68,51.0,R1 Research,85342.0,57.0,2,0.866,0.5,42.4,22109.0,14861.0,36970.0,48372.0,0,1.0645,0.4332,33247.0,0.2105
TX,0,City,18682.0,98850.0,0,0,3.16,89.0,R1 Research,91081.0,164.2,4,0.866,-0.5,33.4,31434.0,15111.0,46545.0,44536.0,1,0.4505,0.511,25854.0,0.0408
CO,0,Town,4078.0,26643.0,0,1,3.41,64.0,Liberal Arts College,92737.0,23.1,7,-0.5,-0.866,100.0,34933.0,36959.0,71892.0,20845.0,0,0.7824,0.7752,16767.0,0.4324
PA,0,Suburb,34852.0,229349.0,0,0,3.71,88.0,Community College,18113.0,261.5,9,-1.0,-0.0,40.9,2822.0,0.0,2822.0,15291.0,0,0.0667,0.1558,0.0,0.0463
MN,0,Suburb,33717.0,143027.0,1,0,2.62,60.0,Liberal Arts College,83707.0,41.6,4,0.866,-0.5,98.4,26578.0,7688.0,34266.0,49441.0,1,0.3457,0.4094,15724.0,0.1048
TX,0,Suburb,7729.0,26550.0,1,1,2.73,27.0,Regional Comprehensive,40839.0,133.0,1,0.5,0.866,62.5,10735.0,12791.0,23526.0,17313.0,1,0.6521,0.5761,9584.0,0.0429
TX,0,Rural,2826.0,35664.0,1,1,2.54,42.0,Regional Comprehensive,49865.0,88.8,3,1.0,0.0,47.8,15570.0,16233.0,31803.0,18062.0,1,0.5064,0.6378,15236.0,0.0959
NC,0,Town,26240.0,85246.0,0,0,2.92,58.0,R1 Research,66760.0,769.8,5,0.5,-0.866,57.8,16779.0,8001.0,24780.0,41980.0,0,0.4925,0.3712,15740.0,0.0496
CA,0,Suburb,5004.0,49338.0,0,1,3.39,75.0,Regional Comprehensive,42141.0,151.7,1,0.5,0.866,74.1,20578.0,13241.0,33819.0,8322.0,1,0.1687,0.8025,3318.0,0.2
FL,0,Town,19333.0,93164.0,1,0,3.2,49.0,Liberal Arts College,76146.0,977.1,11,-0.5,0.866,53.8,25027.0,15223.0,40250.0,35896.0,1,0.3853,0.5286,16563.0,0.1029
MD,0,Suburb,6449.0,48593.0,1,1,1.99,22.0,Liberal Arts College,71398.0,228.3,1,0.5,0.866,56.0,13521.0,20476.0,33997.0,37401.0,0,0.7697,0.4762,30952.0,0.0441
LA,0,Town,35749.0,188691.0,0,0,2.26,31.0,Regional Comprehensive,48307.0,566.0,1,0.5,0.866,34.7,8235.0,3271.0,11506.0,36801.0,1,0.195,0.2382,1052.0,0.0423
CA,0,Town,12311.0,63322.0,1,0,2.31,22.0,Community College,16865.0,101.8,1,0.5,0.866,55.5,1365.0,971.0,2336.0,14529.0,1,0.2294,0.1385,2218.0,0.0685
CT,0,City,71133.0,359619.0,0,0,3.68,91.0,Regional Comprehensive,56643.0,182.1,2,0.866,0.5,69.2,26253.0,0.0,26253.0,30390.0,1,0.0845,0.4635,0.0,0.062
SC,0,City,19679.0,97142.0,0,0,3.08,76.0,R1 Research,76955.0,455.5,10,-0.866,0.5,26.9,20297.0,14851.0,35148.0,41807.0,0,0.4304,0.4567,22128.0,0.1452
OK,0,City,3278.0,23824.0,0,1,3.5,65.0,Regional Comprehensive,43426.0,327.7,7,-0.5,-0.866,49.5,20664.0,14468.0,35132.0,8294.0,0,0.3481,0.809,5016.0,0.0594
IN,0,City,62747.0,282738.0,0,0,3.81,92.0,Community College,16558.0,221.3,1,0.5,0.866,67.6,4533.0,0.0,4533.0,12025.0,1,0.0425,0.2738,0.0,0.1094
TN,0,Suburb,14690.0,138836.0,0,0,3.06,75.0,Community College,18224.0,89.8,11,-0.5,0.866,75.3,813.0,940.0,1753.0,16471.0,1,0.1186,0.0962,1781.0,0.0968
MI,0,City,12926.0,82761.0,0,0,3.31,85.0,Community College,18479.0,107.2,5,0.5,-0.866,39.2,5177.0,965.0,6142.0,12337.0,1,0.1491,0.3324,0.0,0.0571
MA,0,Suburb,25146.0,100265.0,0,0,2.08,18.0,Regional Comprehensive,43779.0,418.4,4,0.866,-0.5,96.8,9778.0,3242.0,13020.0,30759.0,1,0.3068,0.2974,5613.0,0.5312
AR,0,City,5913.0,26739.0,0,1,3.65,94.0,Community College,17762.0,520.6,1,0.5,0.866,71.1,3479.0,4756.0,8235.0,9527.0,0,0.3563,0.4636,3614.0,0.186
CA,0,City,-483.0,17169.0,1,1,3.09,55.0,Regional Comprehensive,41297.0,68.0,10,-0.866,0.5,37.7,13773.0,12998.0,26771.0,14526.0,0,0.8461,0.6483,15009.0,0.0348
NY,0,Suburb,19118.0,61080.0,0,0,3.06,68.0,Regional Comprehensive,49081.0,58.0,5,0.5,-0.866,61.9,22824.0,5623.0,28447.0,20634.0,1,0.3378,0.5796,1516.0,0.1475
CA,0,Suburb,45256.0,169857.0,0,0,3.35,59.0,Regional Comprehensive,51359.0,49.0,1,0.5,0.866,49.8,21835.0,1313.0,23148.0,28211.0,1,0.1661,0.4507,0.0,0.0408
KS,0,Suburb,18229.0,83693.0,0,0,2.94,33.0,Regional Comprehensive,41120.0,302.8,4,0.866,-0.5,31.9,11218.0,5957.0,17175.0,23945.0,0,0.2861,0.4177,5716.0,0.0656
OH,1,Town,50694.0,215476.0,0,0,2.95,60.0,Liberal Arts College,62506.0,13.8,1,0.5,0.866,59.9,18468.0,1767.0,20235.0,42271.0,1,0.1962,0.3237,0.0,0.0379
TN,0,Rural,34916.0,162963.0,0,0,1.65,15.0,Regional Comprehensive,36904.0,299.0,1,0.5,0.866,60.4,4153.0,532.0,4685.0,32219.0,1,0.1977,0.127,0.0,0.0563
KY,0,Suburb,6096.0,63885.0,1,1,3.06,66.0,Community College,17636.0,224.7,1,0.5,0.866,71.8,2354.0,4681.0,7035.0,10601.0,0,0.1659,0.3989,4505.0,0.1562
SD,0,City,47989.0,147606.0,0,0,1.82,,Community College,23923.0,71.5,3,1.0,0.0,43.9,614.0,0.0,614.0,23309.0,1,0.1579,0.0257,0.0,0.1087
TX,0,City,26061.0,188390.0,0,0,2.18,,Community College,22000.0,654.5,9,-1.0,-0.0,39.8,3270.0,0.0,3270.0,18730.0,0,0.0994,0.1486,0.0,0.0154
SC,0,Rural,20899.0,59413.0,1,0,3.16,72.0,R1 Research,77570.0,27.3,6,0.0,-1.0,79.2,20599.0,12060.0,32659.0,44911.0,1,0.7559,0.421,24012.0,0.127
CT,0,Suburb,12210.0,53964.0,0,0,2.53,56.0,R2 Doctoral,49062.0,723.7,6,0.0,-1.0,72.0,14602.0,9679.0,24281.0,24781.0,1,0.4592,0.4949,12571.0,0.1818
CA,0,Town,21199.0,69642.0,1,0,2.13,,Community College,17258.0,177.1,1,0.5,0.866,44.4,2357.0,0.0,2357.0,14901.0,1,0.214,0.1366,0.0,0.0761
WI,0,Suburb,1652.0,11086.0,1,1,1.78,5.0,Community College,17710.0,15.0,1,0.5,0.866,36.7,0.0,8296.0,8296.0,9414.0,0,0.8492,0.4684,7762.0,0.0222
PA,0,City,18205.0,77027.0,1,0,3.05,45.0,R2 Doctoral,62130.0,674.1,3,1.0,0.0,44.8,19069.0,11400.0,30469.0,31661.0,1,0.411,0.4904,13456.0,0.1296
MA,0,Suburb,17288.0,105738.0,1,0,2.96,57.0,Regional Comprehensive,50855.0,351.7,11,-0.5,0.866,77.9,18817.0,7337.0,26154.0,24701.0,1,0.2336,0.5143,7413.0,0.2051
MI,0,Town,20554.0,69846.0,1,0,2.62,58.0,R1 Research,72078.0,80.8,5,0.5,-0.866,11.2,15990.0,11836.0,27826.0,44252.0,0,0.6336,0.3861,23698.0,0.0
FL,0,Rural,19343.0,80674.0,1,0,3.12,57.0,Community College,21272.0,46.0,2,0.866,0.5,55.4,0.0,470.0,470.0,20802.0,0,0.2579,0.0221,1459.0,0.0625
TX,0,City,24363.0,61004.0,0,0,3.61,72.0,Regional Comprehensive,41730.0,24.4,1,0.5,0.866,79.4,19830.0,4848.0,24678.0,17052.0,1,0.2795,0.5914,0.0,0.3125
CA,0,Suburb,3991.0,14945.0,1,1,2.32,34.0,Regional Comprehensive,46488.0,1600.5,1,0.5,0.866,70.3,11145.0,16569.0,27714.0,18774.0,0,1.2562,0.5962,14783.0,0.0694
CA,0,City,38847.0,208370.0,0,0,1.99,,R1 Research,81536.0,48.1,1,0.5,0.866,60.1,7250.0,8740.0,15990.0,65546.0,0,0.3146,0.1961,26699.0,0.08
AZ,0,Rural,5563.0,48299.0,0,1,3.35,79.0,R1 Research,86454.0,33.6,5,0.5,-0.866,75.8,28726.0,29655.0,58381.0,28073.0,0,0.5812,0.6753,22510.0,0.1094
PA,0,City,14640.0,40344.0,1,0,1.58,15.0,Community College,16129.0,167.9,1,0.5,0.866,62.8,689.0,249.0,938.0,15191.0,0,0.3765,0.0582,551.0,0.1143
FL,0,Town,36103.0,167334.0,0,0,3.06,57.0,Liberal Arts College,91633.0,22.7,1,0.5,0.866,53.0,32558.0,9934.0,42492.0,49141.0,0,0.2937,0.4637,13038.0,0.0676
IN,0,City,29634.0,127346.0,1,0,3.19,57.0,R2 Doctoral,70547.0,45.2,5,0.5,-0.866,76.7,26140.0,9597.0,35737.0,34810.0,1,0.2733,0.5066,5176.0,0.1616
IN,0,Suburb,27620.0,76620.0,1,0,2.67,39.0,R1 Research,59359.0,360.2,1,0.5,0.866,100.0,12095.0,4621.0,16716.0,42643.0,1,0.5566,0.2816,15023.0,0.1667
MI,0,Suburb,22622.0,109529.0,0,0,2.99,51.0,Regional Comprehensive,37945.0,206.3,2,0.866,0.5,20.9,12334.0,3660.0,15994.0,21951.0,0,0.2004,0.4215,0.0,0.0408
MS,0,Suburb,5089.0,27403.0,1,1,2.57,38.0,Community College,23119.0,84.5,12,-0.0,1.0,42.8,3885.0,9658.0,13543.0,9576.0,1,0.3495,0.5858,4487.0,0.0748
IL,0,Town,7116.0,59383.0,1,1,2.99,34.0,Regional Comprehensive,43410.0,129.2,9,-1.0,-0.0,54.1,13530.0,12400.0,25930.0,17480.0,1,0.2944,0.5973,10364.0,0.0543
LA,0,Rural,45897.0,159891.0,0,0,2.86,55.0,Liberal Arts College,75478.0,79.6,10,-0.866,0.5,44.5,24304.0,5255.0,29559.0,45919.0,0,0.2872,0.3916,22.0,0.0286
CA,0,Rural,5302.0,38656.0,0,1,3.91,85.0,Community College,22143.0,118.7,1,0.5,0.866,63.9,2050.0,8789.0,10839.0,11304.0,1,0.2924,0.4895,6002.0,0.1188
MD,0,Suburb,3351.0,30675.0,0,1,3.87,88.0,Regional Comprehensive,41340.0,56.9,12,-0.0,1.0,52.5,21261.0,20479.0,39273.0,2067.0,1,0.0674,0.95,0.0,0.1023
DE,0,Town,10307.0,66609.0,0,0,3.88,81.0,Community College,19861.0,68.9,4,0.866,-0.5,38.1,4392.0,2337.0,6729.0,13132.0,0,0.1972,0.3388,2825.0,0.1163
KY,0,Suburb,15526.0,67743.0,0,0,2.08,25.0,Regional Comprehensive,39215.0,66.7,1,0.5,0.866,73.1,7721.0,4052.0,11773.0,27442.0,1,0.4051,0.3002,11916.0,0.1138
VA,0,Suburb,18504.0,100333.0,0,0,3.63,96.0,R1 Research,80569.0,59.1,2,0.866,0.5,59.7,28723.0,13038.0,41761.0,38808.0,1,0.3868,0.5183,20304.0,0.0714
AZ,0,Suburb,240.0,23335.0,0,1,3.57,79.0,Community College,21367.0,379.2,1,0.5,0.866,85.3,1766.0,10699.0,12465.0,8902.0,0,0.3815,0.5834,8662.0,0.119
PA,0,Suburb,-1500.0,10041.0,0,1,2.29,7.0,Community College,19652.0,284.4,2,0.866,0.5,81.1,3193.0,9309.0,12502.0,7150.0,0,0.7121,0.6362,8650.0,0.0493
TN,0,City,36066.0,122184.0,0,0,2.38,31.0,R1 Research,72924.0,47.6,1,0.5,0.866,59.0,10475.0,6310.0,16785.0,56139.0,1,0.4595,0.2302,20073.0,0.1571
CO,0,Suburb,2179.0,28861.0,0,1,3.48,76.0,Regional Comprehensive,45341.0,36.2,2,0.866,0.5,71.5,19477.0,12278.0,31755.0,13586.0,1,0.4707,0.7004,11407.0,0.1169
WY,0,City,11110.0,40571.0,1,0,3.43,71.0,Liberal Arts College,76189.0,107.4,1,0.5,0.866,25.5,30286.0,12712.0,42998.0,33191.0,0,0.8181,0.5644,22081.0,0.087
NC,0,City,5549.0,13070.0,0,1,2.99,45.0,Community College,19041.0,1217.9,2,0.866,0.5,23.6,0.0,6675.0,6675.0,12366.0,0,0.9461,0.3506,6817.0,0.0157
CA,0,City,9450.0,131465.0,0,0,3.5,73.0,Liberal Arts College,86622.0,43.1,2,0.866,0.5,81.5,37376.0,11144.0,48520.0,38102.0,1,0.2898,0.5601,28652.0,0.1429
WA,0,City,23058.0,81003.0,0,0,2.01,28.0,Community College,14762.0,107.0,11,-0.5,0.866,51.3,1996.0,0.0,1996.0,12766.0,1,0.1576,0.1352,0.0,0.1194
CA,0,Town,12173.0,78695.0,0,0,3.11,55.0,Liberal Arts College,96247.0,139.1,1,0.5,0.866,85.6,34592.0,21126.0,55718.0,40529.0,1,0.515,0.5789,28356.0,0.3214
FL,0,Suburb,18092.0,78314.0,0,0,2.49,54.0,Regional Comprehensive,46250.0,113.0,10,-0.866,0.5,74.4,16217.0,6782.0,22999.0,23251.0,1,0.2969,0.4973,5159.0,0.3023
NY,0,City,5792.0,14281.0,1,1,3.24,56.0,R1 Research,93079.0,78.3,9,-1.0,-0.0,32.0,21811.0,24372.0,46183.0,46896.0,0,3.2838,0.4962,41104.0,0.0625
MD,0,Town,8395.0,30967.0,0,1,2.6,26.0,Community College,19853.0,426.1,4,0.866,-0.5,71.9,1910.0,5216.0,7126.0,12727.0,1,0.411,0.3589,4332.0,0.0538
TX,0,Rural,7749.0,45468.0,0,1,3.12,57.0,Community College,19251.0,204.2,3,1.0,0.0,46.9,4242.0,3285.0,7527.0,11724.0,1,0.2579,0.391,3975.0,0.053
TX,0,Rural,8700.0,36714.0,0,1,3.36,42.0,R1 Research,78446.0,308.0,3,1.0,0.0,55.5,18208.0,34972.0,53180.0,25266.0,1,0.6882,0.6779,16566.0,0.1471
CA,0,Town,11303.0,51767.0,0,0,3.55,76.0,Liberal Arts College,65404.0,235.3,11,-0.5,0.866,30.8,29865.0,7620.0,37485.0,27919.0,0,0.5393,0.5731,16616.0,0.0619
OK,0,Rural,19898.0,75152.0,1,0,3.04,52.0,R1 Research,63194.0,323.9,12,-0.0,1.0,74.8,15074.0,6497.0,21571.0,41623.0,1,0.5539,0.3413,21725.0,0.0493
IN,0,Suburb,27429.0,129915.0,0,0,2.1,30.0,Liberal Arts College,75888.0,668.8,7,-0.5,-0.866,66.2,16195.0,9793.0,25988.0,49900.0,1,0.3841,0.3425,22471.0,0.1429
CA,0,Rural,3728.0,21682.0,0,1,2.42,11.0,R2 Doctoral,56989.0,512.6,10,-0.866,0.5,43.9,7992.0,15803.0,23795.0,33194.0,0,1.5309,0.4175,29466.0,0.0365
CA,0,Rural,6325.0,62545.0,1,1,2.3,38.0,Community College,21802.0,1455.2,9,-1.0,-0.0,45.6,1040.0,7443.0,8483.0,13319.0,0,0.213,0.3891,6994.0,0.0323
NJ,0,Suburb,22512.0,105063.0,0,0,2.5,38.0,Liberal Arts College,78669.0,454.9,7,-0.5,-0.866,71.3,22681.0,13728.0,36409.0,42260.0,1,0.4022,0.4628,19748.0,0.0476
NY,0,Rural,6239.0,32359.0,0,1,3.03,77.0,Liberal Arts College,92413.0,62.7,2,0.866,0.5,47.7,36038.0,24140.0,60178.0,32235.0,0,0.9962,0.6512,25996.0,0.0789
WA,0,Town,11172.0,54784.0,1,0,3.36,66.0,R2 Doctoral,40475.0,308.4,3,1.0,0.0,54.0,17551.0,6068.0,23619.0,16856.0,1,0.3077,0.5835,5684.0,0.1304
OH,1,Town,13385.0,88073.0,0,0,2.47,39.0,R2 Doctoral,53380.0,77.3,2,0.866,0.5,48.7,12780.0,6966.0,19746.0,33634.0,1,0.3819,0.3699,20249.0,0.2903
AR,0,Rural,14737.0,63454.0,0,0,2.66,50.0,Regional Comprehensive,43554.0,951.6,8,-0.866,-0.5,43.1,16449.0,6509.0,22958.0,20596.0,0,0.3246,0.5271,5859.0,0.0787
NY,0,Suburb,13399.0,102275.0,1,0,3.21,37.0,R1 Research,78945.0,45.9,2,0.866,0.5,78.1,17441.0,10144.0,27585.0,51360.0,1,0.5022,0.3494,37961.0,0.0621
TN,0,Suburb,14729.0,67385.0,1,0,2.92,66.0,R2 Doctoral,63732.0,227.6,7,-0.5,-0.866,65.5,17985.0,12968.0,30953.0,32779.0,0,0.4864,0.4857,18050.0,0.0929
CA,0,Suburb,8407.0,50285.0,0,1,2.85,48.0,Community College,15932.0,62.0,2,0.866,0.5,51.8,501.0,3345.0,3846.0,12086.0,0,0.2404,0.2414,3679.0,0.1489
NE,0,Town,3278.0,27056.0,0,1,3.75,67.0,Regional Comprehensive,51903.0,217.0,1,0.5,0.866,43.8,22567.0,26606.0,49173.0,2730.0,1,0.1009,0.9474,0.0,0.2222
MT,0,Rural,17496.0,75204.0,0,0,2.21,24.0,Regional Comprehensive,48790.0,101.1,11,-0.5,0.866,53.5,9927.0,4949.0,14876.0,33914.0,0,0.451,0.3049,16418.0,0.0964
MD,0,Rural,11350.0,67642.0,1,0,2.81,63.0,Community College,23659.0,209.6,3,1.0,0.0,60.1,765.0,1828.0,2593.0,21066.0,1,0.3114,0.1096,9716.0,0.0451
GA,0,Town,11612.0,30797.0,0,0,3.0,51.0,Liberal Arts College,78656.0,28.8,2,0.866,0.5,75.9,24442.0,11323.0,35765.0,42891.0,0,1.3927,0.4547,31279.0,0.115
FL,0,Rural,11592.0,95710.0,1,0,2.76,47.0,Regional Comprehensive,45384.0,291.4,4,0.866,-0.5,51.0,15870.0,9309.0,25179.0,20205.0,0,0.2111,0.5548,8613.0,0.0815
AL,0,City,34064.0,156828.0,0,0,3.02,30.0,Liberal Arts College,70470.0,157.3,1,0.5,0.866,70.5,23409.0,8480.0,31889.0,38581.0,1,0.246,0.4525,4517.0,0.2143
MD,0,Rural,11236.0,39133.0,1,0,3.13,49.0,R2 Doctoral,52303.0,148.7,1,0.5,0.866,62.2,16356.0,5874.0,22230.0,30073.0,0,0.7685,0.425,18837.0,0.0488
FL,0,City,8184.0,37276.0,1,1,2.91,61.0,R1 Research,72217.0,982.0,1,0.5,0.866,72.0,17702.0,33111.0,50813.0,21404.0,0,0.5742,0.7036,13220.0,0.1556
GA,0,Suburb,2736.0,36309.0,0,1,1.5,12.0,R2 Doctoral,60033.0,84.8,12,-0.0,1.0,82.1,3434.0,25111.0,28545.0,31488.0,1,0.8672,0.4755,28752.0,0.0962
GA,0,City,-951.0,18795.0,0,1,3.49,76.0,R2 Doctoral,61037.0,181.5,9,-1.0,-0.0,50.9,27087.0,20260.0,47347.0,13690.0,1,0.7284,0.7757,14641.0,0.0286
LA,0,Suburb,95183.0,266526.0,0,0,2.64,49.0,Community College,16695.0,140.8,10,-0.866,0.5,93.8,3210.0,0.0,3210.0,13485.0,1,0.0506,0.1923,0.0,0.1172
IN,0,Suburb,1147.0,45561.0,1,1,2.84,44.0,Community College,18967.0,156.0,4,0.866,-0.5,60.2,1142.0,8456.0,9598.0,9369.0,1,0.2056,0.506,8222.0,0.1364
MA,0,City,8250.0,33925.0,0,1,2.05,19.0,R1 Research,74822.0,1306.0,4,0.866,-0.5,41.3,10423.0,29197.0,39620.0,35202.0,0,1.0376,0.5295,26952.0,0.0645
MA,0,Suburb,1205.0,27965.0,1,1,3.06,43.0,Community College,13834.0,135.5,1,0.5,0.866,95.0,686.0,4067.0,4753.0,9081.0,1,0.3247,0.3436,7876.0,0.1143
FL,0,Town,4673.0,47604.0,0,1,3.48,67.0,Community College,21368.0,69.8,4,0.866,-0.5,92.8,997.0,4807.0,5804.0,15564.0,0,0.3269,0.2716,10891.0,0.1667
PA,0,City,11925.0,38156.0,0,0,2.48,35.0,R2 Doctoral,54953.0,903.5,5,0.5,-0.866,42.3,12260.0,7529.0,19789.0,35164.0,0,0.9216,0.3601,23239.0,0.0448
CA,0,Suburb,30881.0,177267.0,0,0,2.52,16.0,Regional Comprehensive,45441.0,91.7,10,-0.866,0.5,40.5,11521.0,3397.0,14918.0,30523.0,1,0.1722,0.3283,0.0,0.0
MN,0,City,7315.0,25614.0,0,1,3.44,99.0,Regional Comprehensive,51929.0,23.5,10,-0.866,0.5,69.4,27783.0,15114.0,42897.0,9032.0,0,0.3526,0.8261,1717.0,0.1475
OH,1,City,182.0,20791.0,1,1,2.84,40.0,R2 Doctoral,36526.0,16.8,9,-1.0,-0.0,69.9,9444.0,12786.0,22230.0,14296.0,0,0.6876,0.6086,14114.0,0.1607
OH,1,City,22881.0,93647.0,1,0,2.95,56.0,Regional Comprehensive,27452.0,9.9,12,-0.0,1.0,42.3,11063.0,1147.0,12210.0,15242.0,0,0.1628,0.4448,0.0,0.0571
FL,0,Suburb,12960.0,58268.0,1,0,3.1,43.0,R1 Research,52134.0,19.1,11,-0.5,0.866,41.7,11345.0,10860.0,22205.0,29929.0,1,0.5136,0.4259,16969.0,0.1429
TX,0,Town,7054.0,53609.0,0,1,2.82,9.0,Regional Comprehensive,45013.0,86.5,2,0.866,0.5,67.0,11992.0,11312.0,23304.0,21709.0,0,0.405,0.5177,14655.0,0.102
VA,0,Suburb,15979.0,94178.0,1,0,3.38,92.0,Regional Comprehensive,50249.0,117.7,1,0.5,0.866,64.4,23527.0,8650.0,32177.0,18072.0,1,0.1919,0.6404,2093.0,0.0811
FL,0,Town,18521.0,69455.0,0,0,3.12,60.0,Regional Comprehensive,35827.0,437.6,3,1.0,0.0,71.4,13506.0,3729.0,17235.0,18592.0,0,0.2677,0.4811,71.0,0.069
CA,0,Suburb,2925.0,60858.0,1,1,3.47,45.0,Regional Comprehensive,40658.0,245.4,1,0.5,0.866,77.1,16331.0,15378.0,31709.0,8949.0,1,0.147,0.7799,6024.0,0.1525
CO,0,Town,6099.0,22878.0,0,1,2.31,15.0,Regional Comprehensive,46045.0,233.9,10,-0.866,0.5,71.2,10633.0,13612.0,24245.0,21800.0,0,0.9529,0.5266,15701.0,0.0526
